Date,Open,High,Low,Close,Adj Close,Volume,,
3/6/2014,188.210007,188.610001,187.779999,188.179993,172.197876,82516500,,0.002290361
3/7/2014,188.960007,188.960007,187.429993,188.259995,172.271042,114513500,,0.000424895
3/10/2014,187.970001,188.229996,187.080002,188.160004,172.179581,74939200,,-0.000530913
3/11/2014,188.440002,188.710007,186.800003,187.229996,171.328552,99009100,,-0.004942682
3/12/2014,186.320007,187.350006,185.899994,187.279999,171.374268,104824400,,0.000266832
3/13/2014,187.839996,187.990005,184.660004,185.179993,169.452652,155014300,,-0.011212979
3/14/2014,184.850006,185.800003,184.440002,184.660004,168.976868,153919600,,-0.00280777
3/17/2014,185.589996,186.770004,185.509995,186.330002,170.504974,98359500,,0.009043285
3/18/2014,186.710007,187.910004,186.509995,187.660004,171.722046,101804600,,0.007138044
3/19/2014,187.679993,187.940002,185.470001,186.660004,170.806946,176267300,,-0.00532896
3/20/2014,186.25,187.889999,185.919998,187.75,171.804382,117241000,,0.005839552
3/21/2014,187.710007,189.020004,186.029999,186.199997,171.13768,163128000,,-0.003880588
3/24/2014,186.839996,187.070007,184.619995,185.429993,170.429932,121411000,,-0.004135547
3/25/2014,186.369995,186.940002,185.270004,186.309998,171.23877,103852000,,0.004745868
3/26/2014,187.039993,187.339996,184.919998,184.970001,170.007172,119843000,,-0.007192285
3/27/2014,184.75,185.339996,183.899994,184.580002,169.648697,142383000,,-0.002108588
3/28/2014,185.110001,186.419998,185,185.490005,170.485077,101642000,,0.00493007
3/31/2014,186.669998,187.300003,185.520004,187.009995,171.882156,99745000,,0.008194729
4/1/2014,187.619995,188.360001,187,188.25,173.021851,89193000,,0.006630677
4/2/2014,188.490005,189.130005,188.139999,188.880005,173.600906,78774000,,0.003346716
4/3/2014,189.169998,189.220001,188.050003,188.630005,173.371109,77435000,,-0.001323709
4/4/2014,189.660004,189.699997,186.100006,186.399994,171.321487,169381000,,-0.011822166
4/7/2014,185.949997,186.259995,183.960007,184.339996,169.428146,140803000,,-0.011051393
4/8/2014,184.259995,185.399994,183.589996,185.100006,170.126678,112660000,,0.004122881
4/9/2014,185.600006,187.149994,185.059998,187.089996,171.955688,100254000,,0.010750871
4/10/2014,187.080002,187.169998,182.929993,183.160004,168.343582,172959000,,-0.021006028
4/11/2014,182.139999,183.419998,181.309998,181.509995,166.827057,167251000,,-0.009008511
4/14/2014,182.929993,183.369995,181.440002,182.940002,168.141342,132382000,,0.007878129
4/15/2014,183.320007,184.330002,181.509995,184.199997,169.299423,157093000,,0.006887545
4/16/2014,185.470001,186.139999,184.649994,186.130005,171.073349,105197000,,0.010478039
4/17/2014,185.880005,186.910004,185.559998,186.389999,171.312271,105255000,,0.001396606
4/21/2014,186.440002,187.100006,186.210007,187.039993,171.909698,68329000,,0.003487357
4/22/2014,187.229996,188.399994,187.130005,187.889999,172.690933,85790000,,0.00454445
4/23/2014,187.820007,187.919998,187.300003,187.449997,172.286514,73869000,,-0.002341866
4/24/2014,188.369995,188.389999,186.929993,187.830002,172.635818,88170000,,0.00202746
4/25/2014,187.220001,187.330002,185.869995,186.289993,171.220398,100380000,,-0.008198878
4/28/2014,187.050003,187.690002,184.960007,186.880005,171.762665,135121000,,0.00316707
4/29/2014,187.479996,188.039993,187.080002,187.75,172.562271,84098000,,0.004655296
4/30/2014,187.440002,188.5,187.179993,188.309998,173.076965,101508000,,0.002982657
5/1/2014,188.220001,188.839996,187.729996,188.330002,173.095398,93019000,,0.000106502
5/2/2014,188.309998,189.139999,187.779999,188.059998,172.847183,98122000,,-0.001433978
5/5/2014,187.139999,188.550003,186.619995,188.419998,173.17807,75883000,,0.001914333
5/6/2014,188,188.130005,186.740005,186.779999,171.670746,85454000,,-0.008703897
5/7/2014,187.410004,187.970001,186.009995,187.880005,172.681763,106500000,,0.005889279
5/8/2014,187.710007,189.050003,187.080002,187.679993,172.497925,93618000,,-0.001064606
5/9/2014,187.710007,188.039993,186.830002,187.960007,172.755295,83679000,,0.001492018
5/12/2014,188.800003,189.880005,188,189.789993,174.437225,86940000,,0.00973591
5/13/2014,190.039993,190.419998,189.770004,189.960007,174.593491,66454000,,0.000895829
5/14/2014,189.789993,189.880005,188.789993,189.059998,173.766296,72367000,,-0.004737834
5/15/2014,188.679993,188.720001,186.479996,187.399994,172.240585,154956000,,-0.008780247
5/16/2014,187.509995,188.130005,186.720001,188.050003,172.838028,97458000,,0.003468654
5/19/2014,187.690002,188.889999,187.520004,188.740005,173.472214,63839000,,0.00366925
5/20/2014,188.649994,188.669998,187.070007,187.550003,172.378494,111644000,,-0.006304871
5/21/2014,188.089996,189.220001,188.059998,189.130005,173.830658,89093000,,0.008424276
5/22/2014,189.179993,189.979996,188.860001,189.589996,174.253448,61549000,,0.002432195
5/23/2014,189.759995,190.479996,189.589996,190.350006,174.951981,61092800,,0.004008718
5/27/2014,191.059998,191.580002,190.949997,191.520004,176.027328,72010000,,0.006146527
5/28/2014,191.520004,191.820007,191.059998,191.380005,175.898666,66723000,,-0.000730921
5/29/2014,191.820007,192.399994,191.330002,192.369995,176.808563,64377000,,0.005172848
5/30/2014,192.190002,192.800003,192.029999,192.679993,177.093475,76316000,,0.001611415
6/2/2014,192.949997,192.990005,191.970001,192.899994,177.295685,64656000,,0.001141826
6/3/2014,192.429993,192.899994,192.25,192.800003,177.203796,65047000,,-0.000518281
6/4/2014,192.470001,193.300003,192.270004,193.190002,177.562241,55529000,,0.002022784
6/5/2014,193.410004,194.649994,192.699997,194.449997,178.720306,92103000,,0.006522023
6/6/2014,194.869995,195.429993,194.779999,195.380005,179.575073,78696000,,0.004782708
6/9/2014,195.350006,196.050003,195.169998,195.580002,179.758926,65119000,,0.001023822
6/10/2014,195.339996,195.639999,194.919998,195.600006,179.777313,57129000,,0.000102287
6/11/2014,194.899994,195.119995,194.479996,194.919998,179.152283,68772000,,-0.00347669
6/12/2014,194.690002,194.800003,193.110001,193.539993,177.883942,106350000,,-0.007079681
6/13/2014,193.919998,194.320007,193.300003,194.130005,178.426163,82017000,,0.003048173
6/16/2014,193.889999,194.699997,193.660004,194.289993,178.573257,87424000,,0.000824397
6/17/2014,194.020004,194.970001,193.809998,194.830002,179.069595,84834000,,0.002779464
6/18/2014,194.830002,196.369995,194.399994,196.259995,180.383896,105267000,,0.00733961
6/19/2014,196.429993,196.600006,195.800003,196.479996,180.586105,85929000,,0.001120993
6/20/2014,196.029999,196.100006,195.699997,195.940002,180.952438,100587000,,0.002028578
6/23/2014,195.990005,196.050003,195.520004,195.880005,180.897018,70611000,,-0.000306268
6/24/2014,195.529999,196.5,194.479996,194.699997,179.807251,96237000,,-0.00602424
6/25/2014,194.289993,195.779999,194.25,195.580002,180.61998,82782000,,0.004520001
6/26/2014,195.610001,195.630005,194.130005,195.440002,180.490677,84312000,,-0.000715884
