Date,Open,High,Low,Close,Adj Close,Volume
2014-07-22,115.089996,115.459999,114.650002,115.330002,106.689606,5753200
2014-07-23,115.510002,115.629997,115.169998,115.180000,106.550850,3489600
2014-07-24,114.519997,114.580002,114.250000,114.320000,105.755249,6609000
2014-07-25,115.339996,115.680000,115.160004,115.669998,107.004135,7041800
2014-07-28,115.589996,115.900002,115.120003,115.510002,106.856110,5138300
2014-07-29,115.870003,116.070000,115.419998,115.930000,107.244629,6579300
2014-07-30,115.150002,115.379997,114.169998,114.320000,105.755249,12251200
2014-07-31,113.529999,114.580002,113.470001,113.980003,105.440735,18254000
2014-08-01,113.580002,114.870003,113.050003,114.559998,106.256966,14951200
2014-08-04,114.529999,114.809998,114.260002,114.260002,105.978714,5183800
2014-08-05,114.070000,114.800003,113.680000,114.629997,106.321854,8032000
2014-08-06,115.470001,115.470001,114.599998,114.699997,106.386795,7289200
2014-08-07,114.839996,115.769997,114.570000,115.769997,107.379242,9745500
2014-08-08,115.930000,116.419998,115.379997,115.519997,107.147362,9536700
2014-08-11,115.650002,115.820000,115.290001,115.510002,107.138107,6668800
2014-08-12,115.410004,115.440002,114.730003,114.760002,106.442467,8122400
2014-08-13,114.870003,115.519997,114.779999,115.510002,107.138107,8210500
2014-08-14,115.930000,116.500000,115.389999,116.440002,108.000679,9028200
2014-08-15,116.709999,118.360001,116.690002,117.709999,109.178680,17606700
2014-08-18,117.209999,117.300003,116.389999,116.540001,108.093437,7595300
2014-08-19,117.080002,117.150002,115.980003,116.180000,107.759552,5936900
2014-08-20,116.040001,116.110001,115.570000,115.989998,107.583298,7275600
2014-08-21,116.070000,116.760002,116.019997,116.639999,108.186195,6790700
2014-08-22,116.739998,117.430000,116.209999,117.290001,108.789093,10149900
2014-08-25,117.449997,117.779999,117.209999,117.730003,109.197205,5760700
2014-08-26,117.940002,117.989998,117.209999,117.349998,108.844734,5487600
2014-08-27,117.699997,118.410004,117.400002,118.349998,109.772255,7265800
2014-08-28,119.129997,119.370003,118.669998,118.970001,110.347321,9463600
2014-08-29,118.919998,119.430000,118.750000,119.050003,110.421501,8512900
2014-09-02,117.279999,117.379997,116.699997,116.730003,108.516693,10506000
2014-09-03,116.400002,117.379997,116.309998,117.379997,109.120979,6553900
2014-09-04,116.620003,116.879997,115.930000,115.949997,107.791595,12528900
2014-09-05,116.440002,116.599998,115.440002,115.730003,107.587059,6886000
2014-09-08,116.410004,116.629997,115.449997,115.779999,107.633560,9326400
2014-09-09,115.489998,115.889999,115.449997,115.690002,107.549866,5353100
2014-09-10,114.970001,115.120003,114.790001,114.959999,106.871246,8729400
2014-09-11,115.260002,115.540001,114.570000,114.580002,106.517982,9274800
2014-09-12,113.690002,113.919998,113.220001,113.379997,105.402428,11114900
2014-09-15,113.849998,114.070000,113.360001,113.550003,105.560425,5510700
2014-09-16,113.610001,113.860001,113.080002,113.089996,105.132813,9304700
