"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Burkina Faso","BFA","School enrollment, primary (% net)","SE.PRM.NENR","","","","","","","","","","","","10.0545997619629","10.4877901077271","","","","","12.5579500198364","13.0268201828003","13.5188999176025","14.3084497451782","15.3243799209595","16.8141002655029","18.080020904541","19.4290504455566","21.484619140625","23.4854602813721","25.1381893157959","25.6219692230225","25.9147205352783","","27.1822700500488","27.703519821167","28.6870594024658","29.9130306243896","31.5351505279541","","","34.980339050293","35.4897308349609","36.3337211608887","37.2634201049805","36.7214202880859","38.6519813537598","41.1489181518555","45.7476005554199","48.7473297119141","54.0341415405273","59.970100402832","62.7928009033203","59.9130210876465","64.8910598754883","65.6829299926758","66.5907669067383","67.7984619140625","69.389762878418","75.2086334228516","76.4237289428711","",
"Bangladesh","BGD","School enrollment, primary (% net)","SE.PRM.NENR","","","","","","","","","","","50.8469390869141","","","70.3686218261719","","","76.24365234375","71.3421173095703","70.6111907958984","","","67.5441284179688","","64.3703918457031","62.9723091125488","61.1475791931152","60.1418609619141","59.1470108032227","69.4275283813477","69.3902969360352","72.3242111206055","","","","","","","","","","","","","","","91.7100067138672","92.3722915649414","","89.5276184082031","90.2622909545898","90.5086212158203","","","","","","","90.5018920898438","",
"Bulgaria","BGR","School enrollment, primary (% net)","SE.PRM.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.9439163208008","95.0115509033203","95.1447601318359","95.6013031005859","95.2758865356445","95.5412292480469","93.9638519287109","94.2954406738281","95.4408493041992","94.1344909667969","95.1161422729492","97.7858428955078","98.0496673583984","97.7516098022461","97.9673690795898","97.9891891479492","96.3002471923828","94.9374618530273","94.4150466918945","93.1626510620117","91.2016296386719","","",
"Bahrain","BHR","School enrollment, primary (% net)","SE.PRM.NENR","","","","","","","","","","","","76.3396835327148","79.2047882080078","80.2690811157227","81.8621063232422","85.2860107421875","82.124870300293","82.1138763427734","80.0557098388672","80.6914215087891","82.3983001708984","81.9960327148438","80.6088027954102","83.2585525512695","86.6106033325195","91.0512313842773","96.1437301635742","95.5158462524414","98.2736587524414","99.0614013671875","","99.4127578735352","97.0084762573242","98.022819519043","97.9322814941406","99.1095809936523","99.8580017089844","99.6033782958984","96.969367980957","96.8736267089844","95.7713317871094","93.0141677856445","93.098518371582","92.3844833374023","91.5996627807617","89.1080474853516","90.509407043457","","","","","90.2263717651367","91.1839828491211","92.2282180786133","94.2565536499023","96.4248962402344","96.2646179199219","97.41259765625","",
"Bahamas, The","BHS","School enrollment, primary (% net)","SE.PRM.NENR","","","","","","","","","","","","100","99.9192504882813","96.3718338012695","99.3899002075195","100","98.8589706420898","","","","97.2191772460938","100","","","95.923942565918","","","","","","","","88.5360107421875","88.8767013549805","92.6108779907227","","","","","90.7617721557617","","","","","93.7618637084961","98.1201629638672","96.5744018554688","98.2593765258789","98.2422790527344","95.8800277709961","97.5136795043945","","","","","","88.1966934204102","","",
"Bosnia and Herzegovina","BIH","School enrollment, primary (% net)","SE.PRM.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","School enrollment, primary (% net)","SE.PRM.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.5809936523438","","","","","","95.5913009643555","92.5376281738281","93.0719528198242","91.5401000976563","89.6102600097656","89.7119674682617","89.5910415649414","","91.5151062011719","91.0486831665039","90.7010498046875","93.9803009033203","92.9100799560547","93.1024475097656","94.3454208374023","96.1498184204102","95.7009887695313","",
"Belize","BLZ","School enrollment, primary (% net)","SE.PRM.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.7231674194336","94.8144683837891","91.9633331298828","","92.1266479492188","93.3364105224609","93.0085678100586","93.6660766601563","93.4257888793945","93.8327865600586","94.91259765625","95.3976135253906","95.1552200317383","96.6786422729492","95.8062515258789","96.2955932617188","96.1411590576172","96.0466537475586","96.1065368652344","",
"Bermuda","BMU","School enrollment, primary (% net)","SE.PRM.NENR","","","","","","","","","","","","","","","","","","","82.7195892333984","80.8029937744141","","","","","91.6493072509766","93.9752578735352","","","","","","","","","","","","","","","","","","","","97.1104431152344","","","","","","85.3482131958008","83.4578704833984","","","","","","",
"Bolivia","BOL","School enrollment, primary (% net)","SE.PRM.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.1381683349609","94.1919021606445","94.8249206542969","94.9225006103516","95.2194290161133","95.622688293457","95.3844528198242","95.5014495849609","95.571907043457","95.355598449707","94.1410217285156","94.2776412963867","92.0121383666992","89.6136093139648","88.0861511230469","87.728157043457","87.6048126220703","88.4827880859375","89.8396606445313","91.8852462768555","",
